                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                 0.6689,                0.54413,                 1.0853,                0.88635,                 0.7597,                0.83204,                0.65991,                0.89527,                0.86732,                 1.3086,              0.0008136,              0.0008136,              0.0008136
                     89,                0.64526,                0.53233,                 1.0729,                0.84282,                 0.7638,                0.84484,                0.66552,                0.89889,                0.82861,                 1.3228,             0.00080653,             0.00080653,             0.00080653
                     90,                0.63129,                0.52239,                 1.0647,                0.82821,                0.76546,                0.82657,                0.65842,                0.90986,                0.92578,                 1.3942,             0.00079945,             0.00079945,             0.00079945
                     91,                0.63255,                0.53613,                 1.0688,                0.87828,                0.72174,                0.79624,                0.63179,                0.92549,                 1.0705,                 1.3969,             0.00079238,             0.00079238,             0.00079238
                     92,                0.60598,                0.48605,                 1.0603,                0.81312,                  0.786,                0.81122,                0.63065,                0.90706,                0.92551,                 1.3481,             0.00078531,             0.00078531,             0.00078531
                     93,                0.60798,                0.49478,                 1.0499,                0.87716,                 0.7267,                0.81315,                0.63953,                0.88218,                0.99316,                 1.3735,             0.00077823,             0.00077823,             0.00077823
                     94,                0.62366,                0.51981,                 1.0715,                0.85941,                0.75532,                0.81065,                0.63894,                0.92993,                 1.0129,                 1.4446,             0.00077116,             0.00077116,             0.00077116
                     95,                 0.6264,                 0.5243,                 1.0517,                0.85252,                0.73911,                0.80429,                 0.6342,                0.91158,                0.99285,                 1.3697,             0.00076409,             0.00076409,             0.00076409
                     96,                0.62201,                0.50789,                 1.0398,                0.88778,                0.74044,                0.81995,                0.65601,                0.87692,                0.96466,                 1.3249,             0.00075701,             0.00075701,             0.00075701
                     97,                0.64114,                0.50386,                 1.0686,                 0.8734,                0.74712,                0.79457,                0.64296,                0.87625,                  1.046,                 1.3722,             0.00074994,             0.00074994,             0.00074994
